assayName,featureIdentifier
RNA,ENSG00000284442
RNA,ENSG00000207631
RNA,ENSG00000207931
RNA,ENSG00000264566
RNA,ENSG00000284346
RNA,ENSG00000199080
RNA,ENSG00000202566
RNA,ENSG00000221203
RNA,ENSG00000221476
RNA,ENSG00000207642
RNA,ENSG00000266228
RNA,ENSG00000284583
RNA,ENSG00000183878
RNA,ENSG00000154654
RNA,ENSG00000133110
RNA,ENSG00000083535
RNA,ENSG00000159228
RNA,ENSG00000188811
RNA,ENSG00000041353
RNA,ENSG00000091164
RNA,ENSG00000081913
RNA,ENSG00000071991
RNA,ENSG00000101474
RNA,ENSG00000182871
RNA,ENSG00000136156
RNA,ENSG00000159055
RNA,ENSG00000080618
RNA,ENSG00000136167
RNA,ENSG00000128245
RNA,ENSG00000175820
RNA,ENSG00000155304
RNA,ENSG00000054803
RNA,ENSG00000100219
RNA,ENSG00000123908
RNA,ENSG00000108256
RNA,ENSG00000120686
RNA,ENSG00000124209
RNA,ENSG00000124766
RNA,ENSG00000126821
RNA,ENSG00000074695
RNA,ENSG00000130766
RNA,ENSG00000132485
RNA,ENSG00000132953
RNA,ENSG00000135679
RNA,ENSG00000160551
RNA,ENSG00000088179
RNA,ENSG00000091009
RNA,ENSG00000143363
RNA,ENSG00000146731
RNA,ENSG00000162928
RNA,ENSG00000164104
Protein,P02730
Protein,P06865
Protein,P07686
Protein,P10619
Protein,P22304
Protein,P15848
Protein,P15586
Protein,P21589
Protein,P00491
Protein,P00352
Protein,P08195
Protein,P43251
Protein,O14773
Protein,P02647
Protein,Q9UBR2
Protein,P25774
Protein,P09668
Protein,P07711
Protein,P53634
Protein,Q9BTY2
Protein,Q13275
Protein,O75594
Protein,P25789
Protein,P04066
Protein,Q9UIW2
Protein,O14786
Protein,O60462
Protein,P34932
Protein,Q15008
Protein,P49720
Protein,P60900
Protein,Q06323
Protein,P28065
Protein,P28070
Protein,Q9UL46
Protein,P25788
Protein,P40306
Protein,O14818
Protein,P28062
Protein,Q99436
Protein,P25787
Protein,P25786
Protein,P28066
Protein,O14607
Protein,O15394
Protein,Q15063
Protein,Q8WXW3
Protein,P16152
Protein,Q5JS37
Protein,O00194
Protein,O43396
Protein,O60346
Protein,Q9H159
Protein,Q9HDC9
Protein,P39060
Protein,Q9Y287
Protein,Q9NYP9
Protein,Q96IY4
Protein,P13796
Protein,Q04917
Protein,Q8NDH2
Protein,P48723
Protein,Q9NTU7
Metabolite,HMDB0001448
Metabolite,HMDB0000195
Metabolite,HMDB0000197
Metabolite,HMDB0000182
