"","HYG_005_V1","HYG_012_V1","HYG_015_V1","HYG_017_V1","HYG_018_V1","HYG_019_V1","HYG_020_V1","HYG_021_V1","HYG_022_V1","HYG_023_V1","HYG_024_V1","HYG_025_V1","HYG_001_V1","HYG_003_V1","HYG_004_V1","HYG_008_V1","HYG_036_V1","HYG_049_V1","HYG_054_V1","HYG_055_V1","HYG_056_V1","HYG_065_V1","HYG_069_V1","HYG_071_V1"
"P02730",13.925367815233,14.0242484458212,12.0274596913558,13.8276036616148,11.814668251325,16.283868213887,11.4361201189447,12.8435526709708,14.0637170455735,12.1966523277476,14.9607620105648,13.7798459702635,12.7727189232736,14.0791507147222,13.7275562994638,12.5609929489503,13.3627838071024,13.8106746284757,14.2529798234271,16.2014613220017,13.8079734275632,12.1181716793766,13.664583984071,13.6168541122715
"P06865",14.0899019280816,12.1352868742108,12.4334555999958,13.0696644501713,11.9521595341351,10.3201578483751,11.0117134913636,12.4362467587591,12.4520774683444,13.4638830631932,12.1590142020727,11.9695841845909,13.8079348567424,13.3671160742088,12.9870846494146,11.9973034461822,12.6320628796246,13.104214747684,14.0293569695081,12.4509971061765,13.7191185043833,11.7763967981078,13.6435121157004,12.9331900110726
"P07686",13.182980819174,12.2437219690625,14.9604501649979,13.2129129671871,14.2100973609601,14.9289145057722,14.1701462673187,14.6300982160015,15.3506468629693,11.6562831824985,14.5466198921853,14.6840830692637,14.4526916223435,13.5342289383465,13.9220497213539,13.5427180186693,14.747947213369,13.2481333077732,14.6092557098948,16.4839220305737,16.9766132247379,14.5654333295112,14.7323827971834,13.6755067918407
"P10619",13.1613225530523,13.1379227662915,13.4724486957978,12.6580002151979,13.0103968802124,11.3572248972167,11.5241830031818,13.1605489541287,13.40084464364,11.2241012682362,12.9963092916259,11.2947830598754,12.7316015676926,13.0677577204232,12.739236548418,12.811505433809,11.6143065133229,12.6042602211564,12.7261767718129,12.5651822327608,13.9598552265856,11.640202725186,11.5240684852181,12.4633674604592
"P22304",14.7183058007949,15.8343742502744,13.6142841679557,14.1343593957142,11.6290716895405,11.3272819038425,12.4071818343478,13.1822839897364,13.5326561588691,14.6057793152429,13.8670792573742,13.6208162309276,13.5484170631032,14.5431515459167,13.0830283392317,13.6903391101183,12.8142955720554,12.354504164305,12.9427572960259,13.3353424470037,14.974870136566,13.7462928947025,14.741804679156,12.8896927068309
"P15848",24.2373977817052,22.880562402067,23.6953498983756,24.0858456326237,23.7483312749142,24.6614075580301,23.77555923001,24.4960629420022,24.1323150227458,23.4377560323358,24.7113961532234,24.3732425514787,23.7308663169172,21.9048674660633,22.7064149837792,23.9063614846347,23.820316592132,23.0556262252443,23.341205530416,23.0519480014649,24.1134326134621,22.7125400403171,23.9613458713074,23.6914782326378
"P15586",13.1502224398502,13.9503923601439,11.6440742247851,12.1930801837818,11.5415767467964,12.4309064505937,10.9011093200563,11.6389872944684,11.72455097355,13.4857292370005,12.9728371086862,11.5775905881999,13.1909437754279,11.5120189656523,13.1399758795035,12.974191807117,11.4622287835904,13.2335157449615,11.9057332757245,12.6094502784516,13.1563981695638,12.2463259015753,11.7663315852227,13.0592263527809
"P21589",11.3724335742926,10.8558458517362,10.6168084449033,11.8302636971826,9.65279123429572,12.9996016889315,10.0612592169425,10.5704779570542,11.1818902465579,10.2202534614872,10.7598536148393,11.1774618439941,11.6986537178486,12.3486050307823,11.3042157333729,11.7163762278091,14.0616494942917,11.5401207205499,11.508018665652,11.1378346367411,14.81415006352,11.4452323525905,10.7985577395783,13.366995591583
"P00491",12.4074875389427,11.7513678334597,12.910698883213,12.4269296715624,12.9737503386599,12.635058421295,11.96064432044,13.86319483026,14.3733992666166,11.6847452002783,14.0194496783466,13.2003740820143,12.9657208707671,12.1344427522174,14.0681998253524,12.7662114449564,13.0550783322193,12.3413553331094,12.4553410443846,14.977267017261,11.8850594295249,11.0905489352121,12.1951554987852,12.4114542217906
"P00352",12.5206065285358,12.2938122777109,11.9124739218474,12.4636475794839,11.9593096977706,12.8938519205638,12.2013336570129,12.1292580032141,12.7351416818134,11.4073464529641,12.4391163621902,12.5378641261978,12.3917472393213,12.1709486999508,12.6989078018417,12.307040111167,14.5910533678215,12.3885774271998,12.5307052537292,13.1097178598446,13.0495841693307,11.5971249698409,12.3994383645537,12.018129003826
