from,to,fromName,toName,edgeWeight,edgeDirection,edgeType,fromOmic,toOmic
O95342,C13154,ABCB11,12-Dehydrocholic acid,NA,from_to,Enzyme–substrate/product,Protein,Metabolite
O15439,C13154,ABCC4,12-Dehydrocholic acid,NA,from_to,Enzyme–substrate/product,Protein,Metabolite
O15438,C13154,ABCC3,12-Dehydrocholic acid,NA,from_to,Enzyme–substrate/product,Protein,Metabolite
Q92887,C13154,ABCC2,12-Dehydrocholic acid,NA,from_to,Enzyme–substrate/product,Protein,Metabolite
Q86UW1,C13154,SLC51A,12-Dehydrocholic acid,NA,from_to,Enzyme–substrate/product,Protein,Metabolite
Q9Y6L6,C13154,SLCO1B1,12-Dehydrocholic acid,NA,from_to,Enzyme–substrate/product,Protein,Metabolite
Q9NPD5,C13154,SLCO1B3,12-Dehydrocholic acid,NA,from_to,Enzyme–substrate/product,Protein,Metabolite
Q86UW2,C13154,SLC51B,12-Dehydrocholic acid,NA,from_to,Enzyme–substrate/product,Protein,Metabolite
Q12908,C13154,SLC10A2,12-Dehydrocholic acid,NA,from_to,Enzyme–substrate/product,Protein,Metabolite
Q14973,C13154,SLC10A1,12-Dehydrocholic acid,NA,from_to,Enzyme–substrate/product,Protein,Metabolite
P20815,C13154,CYP3A5,12-Dehydrocholic acid,NA,from_to,Enzyme–substrate/product,Protein,Metabolite
P08684,C13154,CYP3A4,12-Dehydrocholic acid,NA,from_to,Enzyme–substrate/product,Protein,Metabolite
P15428,C13154,HPGD,12-Dehydrocholic acid,NA,from_to,Enzyme–substrate/product,Protein,Metabolite
Q9HAW9,C13154,UGT1A3,12-Dehydrocholic acid,NA,from_to,Enzyme–substrate/product,Protein,Metabolite
P35503,C13154,UGT1A3,12-Dehydrocholic acid,NA,from_to,Enzyme–substrate/product,Protein,Metabolite
P16662,C13154,UGT2B7,12-Dehydrocholic acid,NA,from_to,Enzyme–substrate/product,Protein,Metabolite
O60656,C13154,UGT1A9,12-Dehydrocholic acid,NA,from_to,Enzyme–substrate/product,Protein,Metabolite
P22310,C13154,UGT1A4,12-Dehydrocholic acid,NA,from_to,Enzyme–substrate/product,Protein,Metabolite
P06133,C13154,UGT2B4,12-Dehydrocholic acid,NA,from_to,Enzyme–substrate/product,Protein,Metabolite
P08686,C13154,CYP21A2,12-Dehydrocholic acid,NA,from_to,Enzyme–substrate/product,Protein,Metabolite
