from,to,fromName,toName,edgeWeight,edgeDirection,edgeType,fromOmic,toOmic
Q9BTY2,P04066,FUCA2,FUCA1,0.916,undirected,PPI,Protein,Protein
Q13275,Q9UIW2,SEMA3F,PLXNA1,0.925,undirected,PPI,Protein,Protein
Q13275,O14786,SEMA3F,NRP1,0.955,undirected,PPI,Protein,Protein
Q13275,O60462,SEMA3F,NRP2,0.986,undirected,PPI,Protein,Protein
O75594,P34932,PGLYRP1,HSPA4,0.941,undirected,PPI,Protein,Protein
P25789,Q15008,PSMA4,PSMD6,0.959,undirected,PPI,Protein,Protein
P25789,P49720,PSMA4,PSMB3,0.999,undirected,PPI,Protein,Protein
P25789,P60900,PSMA4,PSMA6,0.998,undirected,PPI,Protein,Protein
P25789,Q06323,PSMA4,PSME1,0.978,undirected,PPI,Protein,Protein
P25789,P28065,PSMA4,PSMB9,0.994,undirected,PPI,Protein,Protein
P25789,P28070,PSMA4,PSMB4,0.998,undirected,PPI,Protein,Protein
P25789,Q9UL46,PSMA4,PSME2,0.967,undirected,PPI,Protein,Protein
P25789,P25788,PSMA4,PSMA3,0.999,undirected,PPI,Protein,Protein
P25789,P40306,PSMA4,PSMB10,0.969,undirected,PPI,Protein,Protein
P25789,O14818,PSMA4,PSMA7,0.998,undirected,PPI,Protein,Protein
P25789,P28062,PSMA4,PSMB8,0.993,undirected,PPI,Protein,Protein
P25789,Q99436,PSMA4,PSMB7,0.997,undirected,PPI,Protein,Protein
P25789,P25787,PSMA4,PSMA2,0.999,undirected,PPI,Protein,Protein
P25789,P25786,PSMA4,PSMA1,0.998,undirected,PPI,Protein,Protein
P25789,P28066,PSMA4,PSMA5,0.998,undirected,PPI,Protein,Protein
P25789,P28074,PSMA4,PSMB5,0.998,undirected,PPI,Protein,Protein
P25789,P20618,PSMA4,PSMB1,0.997,undirected,PPI,Protein,Protein
P25789,P49721,PSMA4,PSMB2,0.999,undirected,PPI,Protein,Protein
P25789,P54578,PSMA4,USP14,0.962,undirected,PPI,Protein,Protein
P25789,P28072,PSMA4,PSMB6,0.998,undirected,PPI,Protein,Protein
O60306,Q9HCG8,AQR,CWC22,0.993,undirected,PPI,Protein,Protein
O60306,Q9NW64,AQR,RBM22,0.997,undirected,PPI,Protein,Protein
P32942,P05362,ICAM3,ICAM1,0.96,undirected,PPI,Protein,Protein
P32942,P13598,ICAM3,ICAM2,0.949,undirected,PPI,Protein,Protein
P32942,P05107,ICAM3,ITGB2,0.998,undirected,PPI,Protein,Protein
P02533,P13647,KRT14,KRT5,0.999,undirected,PPI,Protein,Protein
Q96IY4,P15086,CPB2,CPB1,0.909,undirected,PPI,Protein,Protein
Q9NW64,Q9NXE8,RBM22,CWC25,0.936,undirected,PPI,Protein,Protein
Q9NW64,Q9HCG8,RBM22,CWC22,0.986,undirected,PPI,Protein,Protein
O75807,P62136,PPP1R15A,PPP1CA,0.989,undirected,PPI,Protein,Protein
P18206,P07737,VCL,PFN1,0.949,undirected,PPI,Protein,Protein
P18206,Q14315,VCL,FLNC,0.977,undirected,PPI,Protein,Protein
P18206,P50552,VCL,VASP,0.988,undirected,PPI,Protein,Protein
P18206,P15311,VCL,EZR,0.942,undirected,PPI,Protein,Protein
P18206,P02751,VCL,FN1,0.951,undirected,PPI,Protein,Protein
P18206,O43707,VCL,ACTN4,0.998,undirected,PPI,Protein,Protein
P18206,Q05397,VCL,PTK2,0.987,undirected,PPI,Protein,Protein
P18206,Q9Y490,VCL,TLN1,0.999,undirected,PPI,Protein,Protein
P18206,P33151,VCL,CDH5,0.945,undirected,PPI,Protein,Protein
P18206,P12814,VCL,ACTN1,0.994,undirected,PPI,Protein,Protein
P18206,Q13418,VCL,ILK,0.983,undirected,PPI,Protein,Protein
P18206,P48059,VCL,LIMS1,0.907,undirected,PPI,Protein,Protein
P18206,P21333,VCL,FLNA,0.982,undirected,PPI,Protein,Protein
P18206,P12931,VCL,SRC,0.988,undirected,PPI,Protein,Protein
P18206,P12830,VCL,CDH1,0.985,undirected,PPI,Protein,Protein
P18206,Q15942,VCL,ZYX,0.984,undirected,PPI,Protein,Protein
Q03167,P01137,TGFBR3,TGFB1,0.99,undirected,PPI,Protein,Protein
Q03167,P37173,TGFBR3,TGFBR2,0.905,undirected,PPI,Protein,Protein
Q13477,P14151,MADCAM1,SELL,0.998,undirected,PPI,Protein,Protein
P05546,P00734,SERPIND1,F2,0.988,undirected,PPI,Protein,Protein
P35579,P60660,MYH9,MYL6,0.978,undirected,PPI,Protein,Protein
P35579,P26447,MYH9,S100A4,0.992,undirected,PPI,Protein,Protein
P35579,Q86VB7,MYH9,CD163,0.924,undirected,PPI,Protein,Protein
P35579,P35580,MYH9,MYH10,0.981,undirected,PPI,Protein,Protein
P35579,P24844,MYH9,MYL9,0.97,undirected,PPI,Protein,Protein
P35579,P62736,MYH9,ACTA2,0.926,undirected,PPI,Protein,Protein
P50502,P34932,ST13,HSPA4,0.989,undirected,PPI,Protein,Protein
P50502,P11142,ST13,HSPA8,0.991,undirected,PPI,Protein,Protein
P50502,P08238,ST13,HSP90AB1,0.982,undirected,PPI,Protein,Protein
P50502,P07900,ST13,HSP90AA1,0.989,undirected,PPI,Protein,Protein
Q14112,P98160,NID2,HSPG2,0.989,undirected,PPI,Protein,Protein
P08311,P14780,CTSG,MMP9,0.969,undirected,PPI,Protein,Protein
P08311,P02788,CTSG,LTF,0.979,undirected,PPI,Protein,Protein
P08311,P01011,CTSG,SERPINA3,0.967,undirected,PPI,Protein,Protein
P08311,P24158,CTSG,PRTN3,0.987,undirected,PPI,Protein,Protein
P08311,P08246,CTSG,ELANE,0.988,undirected,PPI,Protein,Protein
P08311,P05164,CTSG,MPO,0.982,undirected,PPI,Protein,Protein
P06737,P11216,PYGL,PYGB,0.965,undirected,PPI,Protein,Protein
P25788,P28070,PSMA3,PSMB4,0.999,undirected,PPI,Protein,Protein
P25788,P49721,PSMA3,PSMB2,0.999,undirected,PPI,Protein,Protein
P25788,P20618,PSMA3,PSMB1,0.999,undirected,PPI,Protein,Protein
P25788,P25787,PSMA3,PSMA2,0.998,undirected,PPI,Protein,Protein
P25788,P28062,PSMA3,PSMB8,0.989,undirected,PPI,Protein,Protein
P25788,Q9UL46,PSMA3,PSME2,0.97,undirected,PPI,Protein,Protein
P25788,P28065,PSMA3,PSMB9,0.996,undirected,PPI,Protein,Protein
P25788,P40306,PSMA3,PSMB10,0.991,undirected,PPI,Protein,Protein
P25788,P49720,PSMA3,PSMB3,0.999,undirected,PPI,Protein,Protein
P25788,Q15008,PSMA3,PSMD6,0.962,undirected,PPI,Protein,Protein
P25788,Q06323,PSMA3,PSME1,0.963,undirected,PPI,Protein,Protein
P25788,P60900,PSMA3,PSMA6,0.999,undirected,PPI,Protein,Protein
P25788,P28074,PSMA3,PSMB5,0.997,undirected,PPI,Protein,Protein
P25788,P28066,PSMA3,PSMA5,0.997,undirected,PPI,Protein,Protein
P25788,P25786,PSMA3,PSMA1,0.999,undirected,PPI,Protein,Protein
P25788,P28072,PSMA3,PSMB6,0.998,undirected,PPI,Protein,Protein
P25788,P54578,PSMA3,USP14,0.965,undirected,PPI,Protein,Protein
P25788,O14818,PSMA3,PSMA7,0.997,undirected,PPI,Protein,Protein
P25788,Q99436,PSMA3,PSMB7,0.997,undirected,PPI,Protein,Protein
Q9UL46,P25787,PSME2,PSMA2,0.971,undirected,PPI,Protein,Protein
Q9UL46,Q06323,PSME2,PSME1,0.999,undirected,PPI,Protein,Protein
Q9UL46,Q99436,PSME2,PSMB7,0.929,undirected,PPI,Protein,Protein
Q9UL46,P28062,PSME2,PSMB8,0.915,undirected,PPI,Protein,Protein
Q9UL46,P60900,PSME2,PSMA6,0.953,undirected,PPI,Protein,Protein
Q9UL46,O14818,PSME2,PSMA7,0.957,undirected,PPI,Protein,Protein
Q9UL46,P49720,PSME2,PSMB3,0.929,undirected,PPI,Protein,Protein
Q9UL46,P20618,PSME2,PSMB1,0.934,undirected,PPI,Protein,Protein
Q9UL46,P49721,PSME2,PSMB2,0.941,undirected,PPI,Protein,Protein
Q9UL46,P28074,PSME2,PSMB5,0.904,undirected,PPI,Protein,Protein
Q9UL46,P28070,PSME2,PSMB4,0.952,undirected,PPI,Protein,Protein
Q9UL46,P28066,PSME2,PSMA5,0.973,undirected,PPI,Protein,Protein
Q9UL46,P25786,PSME2,PSMA1,0.968,undirected,PPI,Protein,Protein
Q9UNN8,P04070,PROCR,PROC,0.988,undirected,PPI,Protein,Protein
Q9H4B7,P68366,TUBB1,TUBA4A,0.933,undirected,PPI,Protein,Protein
Q9H4B7,Q9NY65,TUBB1,TUBA8,0.933,undirected,PPI,Protein,Protein
P18428,P02647,LBP,APOA1,0.915,undirected,PPI,Protein,Protein
P00740,P08709,F9,F7,0.963,undirected,PPI,Protein,Protein
P00740,P01008,F9,SERPINC1,0.973,undirected,PPI,Protein,Protein
P00740,P00451,F9,F8,0.957,undirected,PPI,Protein,Protein
P01033,P08254,TIMP1,MMP3,0.998,undirected,PPI,Protein,Protein
P01033,P14780,TIMP1,MMP9,0.999,undirected,PPI,Protein,Protein
P01033,P08253,TIMP1,MMP2,0.912,undirected,PPI,Protein,Protein
P01033,P50281,TIMP1,MMP14,0.999,undirected,PPI,Protein,Protein
P08253,P16035,MMP2,TIMP2,0.999,undirected,PPI,Protein,Protein
P08253,P01023,MMP2,A2M,0.908,undirected,PPI,Protein,Protein
P08253,P16070,MMP2,CD44,0.923,undirected,PPI,Protein,Protein
P08253,P50281,MMP2,MMP14,0.994,undirected,PPI,Protein,Protein
P23435,Q9ULB1,CBLN1,NRXN1,0.978,undirected,PPI,Protein,Protein
Q13232,P15531,NME3,NME1,0.967,undirected,PPI,Protein,Protein
P09668,P01040,CTSH,CSTA,0.911,undirected,PPI,Protein,Protein
Q9HD89,Q01518,RETN,CAP1,0.917,undirected,PPI,Protein,Protein
P01137,P17813,TGFB1,ENG,0.991,undirected,PPI,Protein,Protein
P01137,O14786,TGFB1,NRP1,0.902,undirected,PPI,Protein,Protein
P01137,P07996,TGFB1,THBS1,0.949,undirected,PPI,Protein,Protein
P01137,P37173,TGFB1,TGFBR2,0.999,undirected,PPI,Protein,Protein
P01137,P21810,TGFB1,BGN,0.945,undirected,PPI,Protein,Protein
P01137,P00533,TGFB1,EGFR,0.929,undirected,PPI,Protein,Protein
P01137,Q14766,TGFB1,LTBP1,0.997,undirected,PPI,Protein,Protein
P49747,P02751,COMP,FN1,0.916,undirected,PPI,Protein,Protein
P27169,Q15166,PON1,PON3,0.906,undirected,PPI,Protein,Protein
P27169,P10909,PON1,CLU,0.984,undirected,PPI,Protein,Protein
P27169,P02647,PON1,APOA1,0.993,undirected,PPI,Protein,Protein
P07942,P05556,LAMB1,ITGB1,0.95,undirected,PPI,Protein,Protein
P07942,P25391,LAMB1,LAMA1,0.972,undirected,PPI,Protein,Protein
P07942,P11047,LAMB1,LAMC1,0.999,undirected,PPI,Protein,Protein
P07942,P24043,LAMB1,LAMA2,0.921,undirected,PPI,Protein,Protein
P05121,P04004,SERPINE1,VTN,0.999,undirected,PPI,Protein,Protein
P05121,P05120,SERPINE1,SERPINB2,0.925,undirected,PPI,Protein,Protein
P05121,Q07954,SERPINE1,LRP1,0.978,undirected,PPI,Protein,Protein
P25787,P28062,PSMA2,PSMB8,0.989,undirected,PPI,Protein,Protein
P25787,P20618,PSMA2,PSMB1,0.998,undirected,PPI,Protein,Protein
P25787,P49721,PSMA2,PSMB2,0.997,undirected,PPI,Protein,Protein
P25787,P28070,PSMA2,PSMB4,0.996,undirected,PPI,Protein,Protein
P25787,Q99436,PSMA2,PSMB7,0.998,undirected,PPI,Protein,Protein
P25787,O14818,PSMA2,PSMA7,0.999,undirected,PPI,Protein,Protein
P25787,P28072,PSMA2,PSMB6,0.997,undirected,PPI,Protein,Protein
P25787,P54578,PSMA2,USP14,0.979,undirected,PPI,Protein,Protein
P25787,P28066,PSMA2,PSMA5,0.999,undirected,PPI,Protein,Protein
P25787,P28074,PSMA2,PSMB5,0.997,undirected,PPI,Protein,Protein
P25787,P25786,PSMA2,PSMA1,0.998,undirected,PPI,Protein,Protein
P25787,Q06323,PSMA2,PSME1,0.968,undirected,PPI,Protein,Protein
P25787,P60900,PSMA2,PSMA6,0.999,undirected,PPI,Protein,Protein
P25787,P49720,PSMA2,PSMB3,0.999,undirected,PPI,Protein,Protein
P25787,Q15008,PSMA2,PSMD6,0.967,undirected,PPI,Protein,Protein
P25787,P40306,PSMA2,PSMB10,0.996,undirected,PPI,Protein,Protein
P25787,P28065,PSMA2,PSMB9,0.987,undirected,PPI,Protein,Protein
P01031,P07357,C5,C8A,0.998,undirected,PPI,Protein,Protein
P01031,P02748,C5,C9,0.997,undirected,PPI,Protein,Protein
P01031,P07358,C5,C8B,0.996,undirected,PPI,Protein,Protein
P01031,P10643,C5,C7,0.996,undirected,PPI,Protein,Protein
P01031,P07360,C5,C8G,0.993,undirected,PPI,Protein,Protein
P01031,P01024,C5,C3,0.965,undirected,PPI,Protein,Protein
P01031,P13671,C5,C6,0.996,undirected,PPI,Protein,Protein
P62736,P35580,ACTA2,MYH10,0.927,undirected,PPI,Protein,Protein
P62736,P60660,ACTA2,MYL6,0.903,undirected,PPI,Protein,Protein
P62736,P24844,ACTA2,MYL9,0.907,undirected,PPI,Protein,Protein
P05164,P08246,MPO,ELANE,0.984,undirected,PPI,Protein,Protein
P05164,P00450,MPO,CP,0.935,undirected,PPI,Protein,Protein
P05164,P25774,MPO,CTSS,0.94,undirected,PPI,Protein,Protein
P05164,P24158,MPO,PRTN3,0.987,undirected,PPI,Protein,Protein
P05164,P02788,MPO,LTF,0.986,undirected,PPI,Protein,Protein
P05164,P17213,MPO,BPI,0.953,undirected,PPI,Protein,Protein
P11678,P10153,EPX,RNASE2,0.966,undirected,PPI,Protein,Protein
P11678,P12724,EPX,RNASE3,0.952,undirected,PPI,Protein,Protein
P07737,P50552,PFN1,VASP,0.999,undirected,PPI,Protein,Protein
P02452,P08123,COL1A1,COL1A2,0.998,undirected,PPI,Protein,Protein
P02452,P02461,COL1A1,COL3A1,0.996,undirected,PPI,Protein,Protein
P02452,P05997,COL1A1,COL5A2,0.973,undirected,PPI,Protein,Protein
P04004,P08514,VTN,ITGA2B,0.99,undirected,PPI,Protein,Protein
P04004,P05106,VTN,ITGB3,0.993,undirected,PPI,Protein,Protein
P04004,P08648,VTN,ITGA5,0.94,undirected,PPI,Protein,Protein
P04004,P02649,VTN,APOE,0.974,undirected,PPI,Protein,Protein
P04004,P02751,VTN,FN1,0.982,undirected,PPI,Protein,Protein
P04004,P02768,VTN,ALB,0.948,undirected,PPI,Protein,Protein
P04004,P00747,VTN,PLG,0.979,undirected,PPI,Protein,Protein
P04004,P14543,VTN,NID1,0.98,undirected,PPI,Protein,Protein
P04004,P05019,VTN,IGF1,0.979,undirected,PPI,Protein,Protein
P02656,P02647,APOC3,APOA1,0.988,undirected,PPI,Protein,Protein
