from,to,fromName,toName,edgeWeight,edgeDirection,edgeType,fromOmic,toOmic
ENSG00000284442,ENSG00000100219,hsa-mir-2110,XBP1,0.84,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207631,ENSG00000123908,hsa-mir-641,AGO2,0.9,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207931,ENSG00000108256,hsa-mir-577,NUFIP2,0.71,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000264566,ENSG00000120686,hsa-mir-23c,UFM1,0.81,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000284346,ENSG00000124209,hsa-mir-940,RAB22A,0.87,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000199080,ENSG00000124766,hsa-mir-133b,SOX4,0.96,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000202566,ENSG00000126821,hsa-mir-421,SGPP1,0.74,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000284346,ENSG00000074695,hsa-mir-940,LMAN1,0.77,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000264566,ENSG00000130766,hsa-mir-23c,SESN2,0.88,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000221203,ENSG00000130766,hsa-mir-1262,SESN2,0.79,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000221476,ENSG00000132485,hsa-mir-1827,ZRANB2,0.85,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207931,ENSG00000132953,hsa-mir-577,XPO4,0.77,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207642,ENSG00000135679,hsa-mir-571,MDM2,0.75,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000266228,ENSG00000160551,hsa-mir-3611,TAOK1,0.9,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207631,ENSG00000088179,hsa-mir-641,PTPN4,0.75,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000284583,ENSG00000091009,hsa-mir-935,RBM27,0.75,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000221476,ENSG00000143363,hsa-mir-1827,PRUNE1,0.86,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000199080,ENSG00000146731,hsa-mir-133b,CCT6A,0.72,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000221203,ENSG00000162928,hsa-mir-1262,PEX13,0.94,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000264566,ENSG00000164104,hsa-mir-23c,HMGB2,0.9,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000221669,ENSG00000164104,hsa-mir-548n,HMGB2,0.77,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000284442,ENSG00000131711,hsa-mir-2110,MAP1B,0.91,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000283203,ENSG00000165934,hsa-mir-1246,CPSF2,0.92,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000221754,ENSG00000167088,hsa-mir-1260a,SNRPD1,0.71,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000284442,ENSG00000167470,hsa-mir-2110,MIDN,0.82,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000265520,ENSG00000168209,hsa-mir-548v,DDIT4,0.95,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000265520,ENSG00000196705,hsa-mir-548v,ZNF431,0.76,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000265520,ENSG00000176749,hsa-mir-548v,CDK5R1,0.92,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000284346,ENSG00000174010,hsa-mir-940,KLHL15,0.73,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207631,ENSG00000174010,hsa-mir-641,KLHL15,0.89,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000283203,ENSG00000174010,hsa-mir-1246,KLHL15,0.76,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000264566,ENSG00000164284,hsa-mir-23c,GRPEL2,0.81,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000199080,ENSG00000185129,hsa-mir-133b,PURA,0.91,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000221476,ENSG00000083312,hsa-mir-1827,TNPO1,0.71,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000283799,ENSG00000139146,hsa-mir-1182,SINHCAF,0.92,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000283203,ENSG00000197050,hsa-mir-1246,ZNF420,0.8,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207631,ENSG00000189060,hsa-mir-641,H1F0,0.72,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000284583,ENSG00000102908,hsa-mir-935,NFAT5,0.8,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000266228,ENSG00000120784,hsa-mir-3611,ZFP30,0.84,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000221754,ENSG00000114739,hsa-mir-1260a,ACVR2B,0.72,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000266192,ENSG00000114739,hsa-mir-1260b,ACVR2B,0.73,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000221476,ENSG00000099942,hsa-mir-1827,CRKL,0.9,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207631,ENSG00000198093,hsa-mir-641,ZNF649,0.91,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000221669,ENSG00000007944,hsa-mir-548n,MYLIP,0.99,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207631,ENSG00000179456,hsa-mir-641,ZBTB18,0.85,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000283799,ENSG00000165280,hsa-mir-1182,VCP,0.97,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000264566,ENSG00000165280,hsa-mir-23c,VCP,0.79,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000199080,ENSG00000162704,hsa-mir-133b,ARPC5,0.92,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000221203,ENSG00000197714,hsa-mir-1262,ZNF460,0.76,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000284346,ENSG00000082805,hsa-mir-940,ERC1,0.9,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000284346,ENSG00000119285,hsa-mir-940,HEATR1,0.83,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000284346,ENSG00000146433,hsa-mir-940,TMEM181,0.79,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000266192,ENSG00000099194,hsa-mir-1260b,SCD,0.92,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000221754,ENSG00000099194,hsa-mir-1260a,SCD,0.92,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000284346,ENSG00000153936,hsa-mir-940,HS2ST1,0.79,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000221476,ENSG00000132825,hsa-mir-1827,PPP1R3D,0.84,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000284442,ENSG00000196233,hsa-mir-2110,LCOR,0.84,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000284442,ENSG00000058804,hsa-mir-2110,NDC1,0.74,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000264566,ENSG00000165678,hsa-mir-23c,GHITM,0.81,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000284442,ENSG00000157514,hsa-mir-2110,TSC22D3,0.73,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000221476,ENSG00000092847,hsa-mir-1827,AGO1,0.76,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207631,ENSG00000092847,hsa-mir-641,AGO1,0.78,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000284583,ENSG00000056586,hsa-mir-935,RC3H2,0.77,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000266192,ENSG00000135018,hsa-mir-1260b,UBQLN1,0.71,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000266228,ENSG00000136156,hsa-mir-3611,ITM2B,0.78,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000264566,ENSG00000107105,hsa-mir-23c,ELAVL2,0.72,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000284583,ENSG00000155545,hsa-mir-935,MIER3,0.78,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207631,ENSG00000205730,hsa-mir-641,ITPRIPL2,0.81,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000199080,ENSG00000166200,hsa-mir-133b,COPS2,0.71,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000264572,ENSG00000010244,hsa-mir-4296,ZNF207,0.82,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000199080,ENSG00000066117,hsa-mir-133b,SMARCD1,1,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000264566,ENSG00000149187,hsa-mir-23c,CELF1,0.98,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000199080,ENSG00000090905,hsa-mir-133b,TNRC6A,0.78,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000284442,ENSG00000090905,hsa-mir-2110,TNRC6A,1,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000266228,ENSG00000152409,hsa-mir-3611,JMY,0.82,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000221476,ENSG00000132388,hsa-mir-1827,UBE2G1,0.72,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000264566,ENSG00000006459,hsa-mir-23c,KDM7A,0.95,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207642,ENSG00000106012,hsa-mir-571,IQCE,0.74,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000266228,ENSG00000157212,hsa-mir-3611,PAXIP1,0.87,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207642,ENSG00000066044,hsa-mir-571,ELAVL1,0.81,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000263785,ENSG00000075420,hsa-mir-3182,FNDC3B,0.88,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000221476,ENSG00000151892,hsa-mir-1827,GFRA1,0.89,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000266228,ENSG00000151892,hsa-mir-3611,GFRA1,0.73,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207931,ENSG00000162928,hsa-mir-577,PEX13,0.95,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000221669,ENSG00000157106,hsa-mir-548n,SMG1,0.99,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000264566,ENSG00000163214,hsa-mir-23c,DHX57,0.76,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000221203,ENSG00000197312,hsa-mir-1262,DDI2,0.88,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000221754,ENSG00000171566,hsa-mir-1260a,PLRG1,0.88,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000284583,ENSG00000080822,hsa-mir-935,CLDND1,0.71,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000284583,ENSG00000110321,hsa-mir-935,EIF4G2,0.83,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000221476,ENSG00000173120,hsa-mir-1827,KDM2A,0.88,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000281842,ENSG00000023171,hsa-mir-1291,GRAMD1B,0.88,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000284442,ENSG00000132341,hsa-mir-2110,RAN,0.78,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000281842,ENSG00000275126,hsa-mir-1291,HIST1H4L,0.75,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000264566,ENSG00000215301,hsa-mir-23c,DDX3X,0.84,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207736,ENSG00000037965,hsa-mir-657,HOXC8,0.93,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000284442,ENSG00000077684,hsa-mir-2110,JADE1,0.87,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000199080,ENSG00000117616,hsa-mir-133b,RSRP1,0.8,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207631,ENSG00000130749,hsa-mir-641,AC008755.1,0.88,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000221669,ENSG00000134294,hsa-mir-548n,SLC38A2,0.96,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000264566,ENSG00000135679,hsa-mir-23c,MDM2,0.73,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207631,ENSG00000175387,hsa-mir-641,SMAD2,1,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000264566,ENSG00000114529,hsa-mir-23c,C3orf52,0.96,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207736,ENSG00000109586,hsa-mir-657,GALNT7,0.8,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207631,ENSG00000141424,hsa-mir-641,SLC39A6,0.93,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207631,ENSG00000141753,hsa-mir-641,IGFBP4,0.73,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000264566,ENSG00000148411,hsa-mir-23c,NACC2,1,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000207931,ENSG00000152683,hsa-mir-577,SLC30A6,0.93,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000264572,ENSG00000167325,hsa-mir-4296,RRM1,0.81,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000284346,ENSG00000189091,hsa-mir-940,SF3B3,0.8,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000264572,ENSG00000118518,hsa-mir-4296,RNF146,0.91,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000221669,ENSG00000173404,hsa-mir-548n,INSM1,0.99,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000284346,ENSG00000178971,hsa-mir-940,CTC1,0.8,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000264572,ENSG00000069345,hsa-mir-4296,DNAJA2,0.84,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000264566,ENSG00000181472,hsa-mir-23c,ZBTB2,0.73,Negative,miRNA-mRNA interaction,RNA,RNA
ENSG00000266228,ENSG00000182287,hsa-mir-3611,AP1S2,0.73,Negative,miRNA-mRNA interaction,RNA,RNA
