from,to,fromName,toName,edgeWeight,edgeDirection,edgeType,fromOmic,toOmic
ENSG00000198888,P03886,MT-ND1,MT-ND1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000198763,P03891,MT-ND2,MT-ND2,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000198804,P00395,MT-CO1,MT-CO1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000198712,P00403,MT-CO2,MT-CO2,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000228253,P03928,MT-ATP8,MT-ATP8,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000198899,P00846,MT-ATP6,MT-ATP6,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000198938,P00414,MT-CO3,MT-CO3,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000198840,P03897,MT-ND3,MT-ND3,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000212907,P03901,MT-ND4L,MT-ND4L,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000198886,P03905,MT-ND4,MT-ND4,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000198786,P03915,MT-ND5,MT-ND5,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000198695,P03923,MT-ND6,MT-ND6,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000198727,P00156,MT-CYB,MT-CYB,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000268674,P0DMU3,F231L,F231L,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000277400,Q8WZ33,MAFIP,MAFIP,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000275063,P0DP08,HVD82,HVD82,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000291362,Q9H7E9,C8orf33,C8orf33,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000291363,P98088,MUC5AC,MUC5AC,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000288360,Q9H7M6,ZSWIM4,ZSWIM4,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000288505,P60323,NANOS3,NANOS3,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000288152,Q0VDD7,BRME1,BRME1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000288293,Q6P1N0,CC2D1A,CC2D1A,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000288195,Q6PEZ8,PODNL1,PODNL1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000288453,Q66K64,DCAF15,DCAF15,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000288283,P22670,RFX1,RFX1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000288474,Q8WXF3,RLN3,RLN3,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000288185,Q6UWB1,IL27RA,IL27RA,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000288318,A6NDB9,PALM3,PALM3,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000288191,Q96FF7,MISP3,MISP3,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000288239,A6NJJ6,C19orf67,C19orf67,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000288516,P17612,PRKACA,PRKACA,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000288210,Q9NVP2,ASF1B,ASF1B,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000288324,O94910,ADGRL1,ADGRL1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000288488,Q6SPF0,SAMD1,SAMD1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000281766,Q8N488,RYBP,RYBP,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000288175,X6R8R1,SYT15B,SYT15B,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000288157,P0DQD5,NPY4R2,NPY4R2,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000288481,B3EWG5,FAM25C,FAM25C,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000288204,Q9NP08,HMX1,HMX1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000292327,Q9Y5P8,PPP2R3B,PPP2R3B,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000292332,P26951,IL3RA,IL3RA,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000292333,Q86VZ1,P2RY8,P2RY8,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000292334,P12236,SLC25A6,SLC25A6,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000292338,Q8N5I4,DHRSX,DHRSX,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000292339,O95671,ASMTL,ASMTL,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000292344,Q9NUJ7,PLCXD1,PLCXD1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000292345,O96006,ZBED1,ZBED1,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000292348,P14209,CD99,CD99,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000292354,O15266,SHOX,SHOX,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000292363,Q9HC73,CRLF2,CRLF2,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000292343,Q02040,AKAP17A,AKAP17A,NA,from_to,RNA_to_Protein,RNA,Protein
ENSG00000292336,P46597,ASMT,ASMT,NA,from_to,RNA_to_Protein,RNA,Protein
