from,to,fromName,toName,edgeWeight,edgeDirection,edgeType,fromOmic,toOmic
Q9NY61,BAX,AATF,BAX,NA,Repression,TF regulation,Protein,Gene
Q9NY61,MYC,AATF,MYC,NA,Activation,TF regulation,Protein,Gene
P00519,BAX,ABL1,BAX,NA,Activation,TF regulation,Protein,Gene
P00519,BCL2,ABL1,BCL2,NA,Repression,TF regulation,Protein,Gene
P00519,BCL6,ABL1,BCL6,NA,Repression,TF regulation,Protein,Gene
P00519,CCND2,ABL1,CCND2,NA,Activation,TF regulation,Protein,Gene
P00519,CDKN1A,ABL1,CDKN1A,NA,Activation,TF regulation,Protein,Gene
P00519,CSF1,ABL1,CSF1,NA,Activation,TF regulation,Protein,Gene
P00519,FOXO3,ABL1,FOXO3,NA,Activation,TF regulation,Protein,Gene
P00519,JUN,ABL1,JUN,NA,Activation,TF regulation,Protein,Gene
P00519,PIM1,ABL1,PIM1,NA,Activation,TF regulation,Protein,Gene
P00519,TP53,ABL1,TP53,NA,Activation,TF regulation,Protein,Gene
Q08117,LEF1,AES,LEF1,NA,Activation,TF regulation,Protein,Gene
Q08117,RND3,AES,RND3,NA,Activation,TF regulation,Protein,Gene
P35869,AHRR,AHR,AHRR,NA,Activation,TF regulation,Protein,Gene
P35869,CA9,AHR,CA9,NA,Repression,TF regulation,Protein,Gene
P35869,CCNG2,AHR,CCNG2,NA,Activation,TF regulation,Protein,Gene
P35869,CYP1A1,AHR,CYP1A1,NA,Activation,TF regulation,Protein,Gene
P35869,CYP1B1,AHR,CYP1B1,NA,Activation,TF regulation,Protein,Gene
P35869,IL6,AHR,IL6,NA,Activation,TF regulation,Protein,Gene
P35869,PCNA,AHR,PCNA,NA,Activation,TF regulation,Protein,Gene
P35869,RFC3,AHR,RFC3,NA,Activation,TF regulation,Protein,Gene
P35869,UGT1A1,AHR,UGT1A1,NA,Activation,TF regulation,Protein,Gene
O00170,AHR,AIP,AHR,NA,Activation,TF regulation,Protein,Gene
O00170,GREB1,AIP,GREB1,NA,Repression,TF regulation,Protein,Gene
O00170,NFKB2,AIP,NFKB2,NA,Repression,TF regulation,Protein,Gene
O00170,RSF1,AIP,RSF1,NA,Repression,TF regulation,Protein,Gene
O00170,TFF1,AIP,TFF1,NA,Repression,TF regulation,Protein,Gene
Q15327,NPPA,ANKRD1,NPPA,NA,Repression,TF regulation,Protein,Gene
O00213,GMPS,APBB1,GMPS,NA,Repression,TF regulation,Protein,Gene
P25054,AKT1,APC,AKT1,NA,Repression,TF regulation,Protein,Gene
P25054,AMHR2,APC,AMHR2,NA,Repression,TF regulation,Protein,Gene
P25054,DNMT1,APC,DNMT1,NA,Repression,TF regulation,Protein,Gene
P25054,MYC,APC,MYC,NA,Repression,TF regulation,Protein,Gene
P25054,NOS2,APC,NOS2,NA,Activation,TF regulation,Protein,Gene
P25054,ODC1,APC,ODC1,NA,Repression,TF regulation,Protein,Gene
P25054,PTGS2,APC,PTGS2,NA,Repression,TF regulation,Protein,Gene
P25054,SGK1,APC,SGK1,NA,Repression,TF regulation,Protein,Gene
