from,to,fromName,toName,edgeWeight,edgeDirection,edgeType,fromOmic,toOmic
ABCA1,ENSG00000165029,ABCA1,ABCA1,NA,Transcription,Transcription,Gene,RNA
ABCA3,ENSG00000167972,ABCA3,ABCA3,NA,Transcription,Transcription,Gene,RNA
ABCB1,ENSG00000085563,ABCB1,ABCB1,NA,Transcription,Transcription,Gene,RNA
ABCB4,ENSG00000005471,ABCB4,ABCB4,NA,Transcription,Transcription,Gene,RNA
ABCB8,ENSG00000197150,ABCB8,ABCB8,NA,Transcription,Transcription,Gene,RNA
ABCC1,ENSG00000278183,ABCC1,ABCC1,NA,Transcription,Transcription,Gene,RNA
ABCC1,ENSG00000103222,ABCC1,ABCC1,NA,Transcription,Transcription,Gene,RNA
ABCC2,ENSG00000023839,ABCC2,ABCC2,NA,Transcription,Transcription,Gene,RNA
ABCC3,ENSG00000108846,ABCC3,ABCC3,NA,Transcription,Transcription,Gene,RNA
ABCC4,ENSG00000125257,ABCC4,ABCC4,NA,Transcription,Transcription,Gene,RNA
ABCC6,ENSG00000275331,ABCC6,ABCC6,NA,Transcription,Transcription,Gene,RNA
ABCC6,ENSG00000091262,ABCC6,ABCC6,NA,Transcription,Transcription,Gene,RNA
ABCG1,ENSG00000160179,ABCG1,ABCG1,NA,Transcription,Transcription,Gene,RNA
ABCG2,ENSG00000118777,ABCG2,ABCG2,NA,Transcription,Transcription,Gene,RNA
ABCG4,ENSG00000172350,ABCG4,ABCG4,NA,Transcription,Transcription,Gene,RNA
ABCG5,ENSG00000138075,ABCG5,ABCG5,NA,Transcription,Transcription,Gene,RNA
ABCG8,ENSG00000143921,ABCG8,ABCG8,NA,Transcription,Transcription,Gene,RNA
ABL2,ENSG00000143322,ABL2,ABL2,NA,Transcription,Transcription,Gene,RNA
ACACA,ENSG00000278540,ACACA,ACACA,NA,Transcription,Transcription,Gene,RNA
ACACA,ENSG00000275176,ACACA,ACACA,NA,Transcription,Transcription,Gene,RNA
ACACA,ENSG00000132142,ACACA,ACACA,NA,Transcription,Transcription,Gene,RNA
ACAN,ENSG00000157766,ACAN,ACAN,NA,Transcription,Transcription,Gene,RNA
ACAT1,ENSG00000075239,ACAT1,ACAT1,NA,Transcription,Transcription,Gene,RNA
