from,to,fromName,toName,edgeWeight,edgeDirection,edgeType,fromOmic,toOmic
ENSG00000207631,ENSG00000207931,ENSG00000207631,ENSG00000207931,0.55,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000207931,ENSG00000264566,ENSG00000207931,ENSG00000264566,0.6,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000264566,ENSG00000221203,ENSG00000264566,ENSG00000221203,0.65,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000221203,ENSG00000221476,ENSG00000221203,ENSG00000221476,0.7,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000221476,ENSG00000207642,ENSG00000221476,ENSG00000207642,0.75,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000207642,ENSG00000266228,ENSG00000207642,ENSG00000266228,0.8,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000266228,ENSG00000183878,ENSG00000266228,ENSG00000183878,0.85,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000183878,ENSG00000154654,ENSG00000183878,ENSG00000154654,0.9,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000154654,ENSG00000133110,ENSG00000154654,ENSG00000133110,0.95,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000133110,ENSG00000083535,ENSG00000133110,ENSG00000083535,0.55,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000083535,ENSG00000159228,ENSG00000083535,ENSG00000159228,0.6,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000159228,ENSG00000188811,ENSG00000159228,ENSG00000188811,0.65,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000188811,ENSG00000041353,ENSG00000188811,ENSG00000041353,0.7,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000041353,ENSG00000091164,ENSG00000041353,ENSG00000091164,0.75,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000091164,ENSG00000081913,ENSG00000091164,ENSG00000081913,0.8,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000081913,ENSG00000101474,ENSG00000081913,ENSG00000101474,0.85,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000101474,ENSG00000182871,ENSG00000101474,ENSG00000182871,0.9,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000182871,ENSG00000136156,ENSG00000182871,ENSG00000136156,0.95,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000136156,ENSG00000159055,ENSG00000136156,ENSG00000159055,0.55,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000159055,ENSG00000080618,ENSG00000159055,ENSG00000080618,0.6,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000080618,ENSG00000136167,ENSG00000080618,ENSG00000136167,0.65,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000136167,ENSG00000128245,ENSG00000136167,ENSG00000128245,0.7,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000128245,ENSG00000175820,ENSG00000128245,ENSG00000175820,0.75,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000175820,ENSG00000155304,ENSG00000175820,ENSG00000155304,0.8,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000155304,ENSG00000100219,ENSG00000155304,ENSG00000100219,0.85,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000100219,ENSG00000123908,ENSG00000100219,ENSG00000123908,0.9,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000123908,ENSG00000108256,ENSG00000123908,ENSG00000108256,0.95,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000108256,ENSG00000120686,ENSG00000108256,ENSG00000120686,0.55,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000120686,ENSG00000124209,ENSG00000120686,ENSG00000124209,0.6,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000124209,ENSG00000124766,ENSG00000124209,ENSG00000124766,0.65,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000124766,ENSG00000126821,ENSG00000124766,ENSG00000126821,0.7,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000126821,ENSG00000074695,ENSG00000126821,ENSG00000074695,0.75,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000074695,ENSG00000130766,ENSG00000074695,ENSG00000130766,0.8,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000130766,ENSG00000132485,ENSG00000130766,ENSG00000132485,0.85,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000132485,ENSG00000132953,ENSG00000132485,ENSG00000132953,0.9,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000132953,ENSG00000135679,ENSG00000132953,ENSG00000135679,0.95,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000135679,ENSG00000160551,ENSG00000135679,ENSG00000160551,0.55,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000160551,ENSG00000088179,ENSG00000160551,ENSG00000088179,0.6,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000088179,ENSG00000091009,ENSG00000088179,ENSG00000091009,0.65,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000091009,ENSG00000143363,ENSG00000091009,ENSG00000143363,0.7,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000143363,ENSG00000146731,ENSG00000143363,ENSG00000146731,0.75,undirected,syntheticWithinAssay,RNA,RNA
ENSG00000146731,ENSG00000162928,ENSG00000146731,ENSG00000162928,0.8,undirected,syntheticWithinAssay,RNA,RNA
