from,to,fromName,toName,edgeWeight,edgeDirection,edgeType,fromOmic,toOmic
ENSG00000207631,P02730,ENSG00000207631,P02730,0.6,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000207931,P06865,ENSG00000207931,P06865,0.64,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000264566,P07686,ENSG00000264566,P07686,0.68,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000221203,P10619,ENSG00000221203,P10619,0.72,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000221476,P22304,ENSG00000221476,P22304,0.76,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000207642,P15848,ENSG00000207642,P15848,0.8,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000266228,P15586,ENSG00000266228,P15586,0.84,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000183878,P21589,ENSG00000183878,P21589,0.88,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000154654,P00491,ENSG00000154654,P00491,0.6,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000133110,P00352,ENSG00000133110,P00352,0.64,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000083535,P08195,ENSG00000083535,P08195,0.68,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000159228,P43251,ENSG00000159228,P43251,0.72,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000188811,O14773,ENSG00000188811,O14773,0.76,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000041353,P02647,ENSG00000041353,P02647,0.8,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000091164,Q9UBR2,ENSG00000091164,Q9UBR2,0.84,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000081913,P25774,ENSG00000081913,P25774,0.88,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000101474,P09668,ENSG00000101474,P09668,0.6,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000182871,P07711,ENSG00000182871,P07711,0.64,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000136156,P53634,ENSG00000136156,P53634,0.68,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000159055,Q9BTY2,ENSG00000159055,Q9BTY2,0.72,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000080618,Q13275,ENSG00000080618,Q13275,0.76,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000136167,O75594,ENSG00000136167,O75594,0.8,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000128245,P25789,ENSG00000128245,P25789,0.84,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000175820,P04066,ENSG00000175820,P04066,0.88,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000155304,Q9UIW2,ENSG00000155304,Q9UIW2,0.6,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000100219,O14786,ENSG00000100219,O14786,0.64,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000123908,O60462,ENSG00000123908,O60462,0.68,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000108256,P34932,ENSG00000108256,P34932,0.72,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000120686,Q15008,ENSG00000120686,Q15008,0.76,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000124209,P49720,ENSG00000124209,P49720,0.8,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000124766,P60900,ENSG00000124766,P60900,0.84,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000126821,Q06323,ENSG00000126821,Q06323,0.88,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000074695,P28065,ENSG00000074695,P28065,0.6,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000130766,P28070,ENSG00000130766,P28070,0.64,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000132485,Q9UL46,ENSG00000132485,Q9UL46,0.68,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000132953,P25788,ENSG00000132953,P25788,0.72,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000135679,P40306,ENSG00000135679,P40306,0.76,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000160551,O14818,ENSG00000160551,O14818,0.8,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000088179,P28062,ENSG00000088179,P28062,0.84,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000091009,Q99436,ENSG00000091009,Q99436,0.88,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000143363,P25787,ENSG00000143363,P25787,0.6,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000146731,P25786,ENSG00000146731,P25786,0.64,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000162928,P28066,ENSG00000162928,P28066,0.68,from_to,syntheticCrossAssay,RNA,Protein
ENSG00000164104,O14607,ENSG00000164104,O14607,0.72,from_to,syntheticCrossAssay,RNA,Protein
P02730,HMDB0001448,P02730,HMDB0001448,0.62,from_to,syntheticCrossAssay,Protein,Metabolite
